#,File,Line(.md)_or_UUID,Finding,Category,Severity,Evidence,Status
1,output/pathways.json,pathway_uuid 1c79768d / 44ae37f0 / 1cc65a32 / f3678fe3 / 3336dafe / 60832274 / 73eb6f69 / cee35a94,"8 of the 32 pathway records are alkali-metal alkoxide REAGENT PREPARATIONS, not routes to the patent target. Each is a single salt_formation/deprotonation step (alcohol + NaH/KH/Na/K -> alkoxide) whose last product is a reagent, so it fails the termination test (last product is neither the target nor a declared intermediate of the target chain). They should be reagent-prep steps inside the parent Example route (or excluded), not standalone pathway records. Effect: len(pathways.json)=32 overstates the route inventory by 8. Mitigating: the pipeline already self-declares this with honest_uncertainty_flags=['reagent_preparation_not_route_to_target'] on all 8, so the condition is declared rather than silent; the fix is either to fold them into the parent route or to make downstream consumers filter on that flag.",non-synthetic-op-as-route,Medium,"pathway_uuid 1c79768d (Example 1) product='sodium 2,2,2-trifluoroethoxide', from .md line 292-293 ('50mL of trifluoroethanol ... 5.2g of sodium hydride ... solid sodium trifluoroethoxide was obtained and sealed for later use'); same shape for 44ae37f0 (.md 310-311), 1cc65a32 (.md ~line 360 Ex5), f3678fe3 (Ex8), 3336dafe (.md 554), 60832274 (.md 572), 73eb6f69 (.md 585), cee35a94 (.md 603). Termination oracle over output/pathways.json flags exactly these 8 and no others.",open
2,output/pathways.json,pathway_uuid 1c79768d / 44ae37f0 / 1cc65a32 / f3678fe3 / 3336dafe / 60832274 / 73eb6f69 / cee35a94,"KSM mislabeled on the same 8 records: ksm.identifier is '2,2,2-trifluoroethanol' or 'tetrahydrofurfuryl alcohol'. Both are etherification reagents, not the patent's key starting material, which is methyl 2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate. output/compounds.json itself tags both alcohols 'compound_class:reagent'. Treating a reagent alcohol as a KSM will pollute any KSM-keyed rollup or supplier/availability lookup.",ksm-mislabeled,Medium,".md line 45-46 (claim 1 step (1)) and line 271-272 name the starting material as methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate (prepared per CN105601548). compounds.json records for '2,2,2-trifluoroethanol' and 'tetrahydrofurfuryl alcohol' carry tags ['compound_class:reagent', ...]. Contrast pathway_uuid a3c8f193 (Example 1 main chain) whose ksm is the correct methyl ester.",open
3,output/pathways.json,pathway_uuid f922125c / 29d0a768 / c2c19cd8,"Duplicate routes not merged: the generic 2-step invention route is stored three times - as the Claims record (f922125c), the Summary of the Invention record (29d0a768) and the patent-scope roll-up (c2c19cd8, scope='patent', section_label=null). All three reduce to the identical ordered pair of transformations with byte-identical reactant_names and product_name at both steps (ester cleavage -> '2-chloro-3-(bromomethyl)-4-(methanesulfonyl)benzoate salt'; etherification -> the Markush target acid), and identical ksm / intermediates / product. Neither 'merged_from' nor 'source_sections' exists on ANY of the 55 records in output/reactions.json, so no merge provenance was ever recorded; the three restatements are simply left as three records.",duplicate-routes-not-merged,Medium,"Claims text .md lines 43-48; Summary text .md lines 158-169; the patent-scope record c2c19cd8 re-uses the SAME step reaction_uuids as the Claims record (1081d613-... 'Claims_Step 1' and 805f1e7e-... 'Claims_Step 2'), i.e. an identical ordered reaction-id set, which by the route-identity rule makes it one route, not two. Verified by dedup over output/pathways.json on the per-step (sorted reactant_names, product_name) key: these three collide in one group.",open
4,output/pathways.json,"all 32 pathway_uuid (e.g. a3c8f193, 7c19852e, 53852c00)","Pathway-level overall_yield_pct is null on all 32 records even though the patent states an explicit two-step OVERALL yield based on the KSM for every one of the 20 worked examples. The number was captured at step level (reactions.json product_yield_pct on the final step: 93.8, 92.4, 84.4, 91.4, 93.5, 89.3, 92.7, 91.9, 89.7, 91.1, 91.4, 91.8, 89.1, 89.8, 88.4, 88.8, 92.5, 92.2, 91.5, 90.8) but never promoted to the pathway record, while honest_uncertainty_flags still asserts 'yield_missing_step'. Any route ranking or yield comparison across the 20 example variants reads null.",pathway-metadata-missing,Medium,".md line 294-295 (Example 1): 'a two-step yield of 93.8% based on methyl 2-chloro-3-bromomethyl-4-methylsulfonylbenzoate'; .md line 317-318 (Example 2, 92.4%); .md line 331-332 (Example 3, 84.4%); .md line 386-387 (Example 6, 89.3%). Verified with: [x['overall_yield_pct'] for x in json.load(open('output/pathways.json'))] -> all None (0/32 non-null), while overall_purity_pct is populated 20/32.",open
5,output/pathways.json,"pathway pairs a3c8f193/7c19852e, 47e9b5bf/082f622c, de6c81b6/88c5d169","Consequence of splitting the alkoxide-prep step out (finding #1): three pairs of genuinely DISTINCT performed example runs become chemically indistinguishable at pathway level. Each pair has identical step-by-step reactant_names and product_name sets, identical ksm, intermediates and product; the only thing that told them apart was the excluded 'Step 2a' alkoxide-prep record, whose base differs. A consumer deduping pathways on chain chemistry would wrongly collapse Example 1 with Example 2, Example 17 with Example 19, and Example 18 with Example 20.",route-identity-collision,Medium,"Ex1 vs Ex2 alkoxide base: sodium hydride (.md line 292-293) vs sodium metal (.md line 310-311); Ex17 vs Ex19: sodium hydride (.md 554) vs sodium metal (.md 585); Ex18 vs Ex20: potassium hydride (.md 572) vs potassium metal (.md 603). Solvents also differ (Ex1 THF .md 295 vs Ex2 DMSO .md 312; Ex20 acetonitrile .md 605). Dedup over output/pathways.json on the per-step (sorted reactant_names, product_name) key produces these three 2-member groups.",open
6,output/pathways.json,pathway_uuid 4e88e4fc / c153b942 / 89910fce / 050b86f4 / 47e9b5bf / de6c81b6 / 082f622c / 88c5d169,"Two honest_uncertainty_flags on 8 Example pathway records contradict the reaction records they summarise: the records carry 'cross_reference_unresolved_in_chain' and 'conditions_unresolved_in_chain', but every constituent reaction in output/reactions.json has cross_reference_unresolved=False and the step-1 conditions ARE resolved (conditions_inherited=True, temperature 25 C, time 7 h, inherited from Example 1). The cross-reference was successfully resolved; the pathway-level flags mark it as unresolved and will drive false-negative confidence downstream.",flag-inconsistent-with-reactions,Medium,"Source of the cross-reference: .md lines 497-498, 513-514, 524-525, 537-538, 547-548, 564-565, 577-578, 595-596 all read 'the same procedure as described in Example 1'. Reaction records 'Example 13_Step 1', 'Example 15_Step 1', 'Example 17_Step 1', 'Example 20_Step 1' all show conditions_inherited=True, temperature value_c=25.0, time_h=7.0, cross_reference_unresolved=False (matching 'Example 1_Step 1' at .md line 280-286). Verified: sorted({str(x['cross_reference_unresolved']) for x in reactions}) == ['False'].",open
7,output/pathways.json,derived count 22 vs len(json.load(open('output/pathways.json'))) = 32,"Distinct-route count disagrees with the record count. Derived independently from output/reactions.json (group by section_label, chain product_name -> reactant_names, then dedup on the ordered reaction-id set) and cross-checked against the .md: 22 distinct routes = 1 prior-art Background route + 1 generic invention route (restated in Claims, Summary and the patent-scope roll-up) + 20 worked Example runs. pathways.json holds 32 records: the 10-record gap is 8 reagent-prep records (finding #1) plus 2 redundant restatements of the generic route (finding #3). Under the stricter topology reading - the 20 examples being condition variants of one claimed route - the patent describes only 2 route topologies (prior art: etherify then saponify; invention: cleave the ester first, then etherify).",route-count-mismatch,Medium,"32 from len(json.load(open('/Users/sathvik.k/Desktop/goldenPatents/data/CN112645853A/output/pathways.json'))). 55 reactions from len(...reactions.json) across 24 section_labels (Background 3, Claims 2, Summary 2, Examples 1-20 = 48). Patent describes exactly 20 examples and no comparative examples (.md lines 273, 296, 319, 333, 351, 372, 388, 407, 427, 441, 460, 479, 495, 511, 522, 535, 545, 562, 575, 593) plus the prior-art scheme at .md lines 137-143 and the claimed route at .md lines 43-48.",open
8,output/reactions.json,reaction_uuid 6d1fd235-...  (Background_Side Reaction),"Coverage oracle: exactly one of the 55 reactions in reactions.json sits in no pathway - 'Background_Side Reaction' (6d1fd235). This is correctly excludable, not an orphan defect: it is the impurity-forming side reaction that produces 2-chloro-3-(methoxymethyl)-4-(methanesulfonyl)benzoic acid from methanol liberated by the prior-art ester cleavage, i.e. the impurity the invention exists to avoid. It is tagged 'step_role:side_reaction'. Logged so the exclusion is on the record with a written reason. Remaining 54 of 55 reactions are covered by some pathway.",reaction-coverage,Info,".md lines 147-148 describe this impurity route ('the ester in the starting material undergoes base cleavage or transesterification and gives methanol as a byproduct, and the methanol reacts further with the benzyl bromide group'). Reaction 6d1fd235 product_smiles='COCc1c(S(C)(=O)=O)ccc(C(=O)O)c1Cl', tags include 'step_role:side_reaction'. Verified: {r['reaction_uuid']} - {step uuids used by pathways} == {6d1fd235...}.",open
9,output/pathways.json,pathway_uuid cffe3b38 (Background),"The prior-art (Background) route carries the SAME Markush product identifier as the invention route ('2-chloro-3-(alkoxymethyl)-4-(methanesulfonyl)benzoic acid') and the same ksm, and nothing in its `tags` array marks it as prior art. It is separated from the invention route only by section_label='Background' and by honest_uncertainty_flags=['...','prior_art_route_not_the_invention']. A consumer that filters on tags or groups on ksm+product would merge a prior-art route into the invention route. Note the two are genuinely different routes: prior art etherifies FIRST then saponifies; the invention cleaves the ester first, then etherifies.",prior-art-separation,Low,".md lines 137-138 attribute the Background scheme to CN105601548A, CN104292137A, US6376429, CN1364160A, CN1323292A; .md lines 160-169 give the invention's reversed step order. Reaction notes on 98b2455f ('Background_Step 1') begin 'PRIOR ART, not the route of the invention.' Pathway cffe3b38 tags contain no prior-art marker.",open
10,output/pathways.json,pathway_uuid be012904 / 9c73f76d / 737f3168 / 80b713e7 vs a3c8f193,"Inconsistent is_one_pot tagging for the same chemical operation. Examples 9-12 pathway records carry tag 'is_one_pot:true' (and their step-1 reactions add 'transformation:salt_formation') for the step-1 ester cleavage, while Examples 1-8 and 13-20 carry 'is_one_pot:false' for the chemically identical cleavage of the same methyl ester to the same benzoate salt in the same tertiary-alcohol solvent. The distinction does not track anything in the source text.",tag-inconsistency,Low,"Example 9 step 1 (.md lines 433-434): sodium hydride in 2-methyl-2-pentanol, 25 C, 6 h -> sodium benzoate salt 97.8% - reaction 398262ea tagged is_one_pot:true. Example 1 step 1 (.md lines 280-286): sodium hydroxide in tert-butanol, 25 C, 7 h -> sodium benzoate salt 98.2% - reaction d08f0c96 tagged is_one_pot:false. Same transformation, opposite tag.",open
