#,File,Line(.md)_or_UUID,Finding,Category,Severity,Evidence,Status
1,output/pathways.json,80fafd41-63c1-5c5f-ae51-e873ca07ea4b; e6c1deb1-a7f4-5167-8733-f8b9b0e559dc; a213ad3c-3e6d-5e8b-9100-95e4fd4da42d,"Pointer integrity FAILS: 3 of 16 pathway records reference 6 reaction_uuids that exist in no reactions.json row, so those routes cannot be joined to reactions.json at all. The patent-scope canonical invention route is entirely unresolvable.",PointerIntegrity,High,"Dangling uuids: 5d2ace13-5900-529b-bb2a-d28fd6a6af91, 4f83be69-7508-596c-893f-843bdc80de30, 3624ef2f-17d8-5b80-bd0f-c69997059a71 (reaction_id 'Detailed Description of the Invention_Step 1/2/3', used by pathways 80fafd41 and a213ad3c) and d2186ee1-1357-5a04-a847-8042547dff41, b68c1936-d4d1-5747-90e3-0ab56b1e55d3, 5c92cb62-c55a-57f5-99fd-25221313738b (reaction_id 'Claims_Step 1/2/3', used by pathway e6c1deb1). reactions.json holds only 'Detailed Description of the Invention_Step 4' for that section and zero Claims rows. Root cause is recorded in the notes of reactions Summary of the Invention_Step 1/2/3 (86d4916a-c22e-5c30-9156-e6ae2526d46b, aa444481-ab0a-5227-b24b-48eebf102ae9, dc18d66e-0af1-5f11-8ec1-56d4d94cb01e): 'MERGED RECORD ... previously held as three records: Summary of the Invention_Step N, Detailed Description of the Invention_Step N, Claims_Step N'. The reactions were merged; pathways.json was never re-pointed.",open
2,output/pathways.json,c3ba1294-327c-5032-9004-a418f4ea1c04; 80fafd41-63c1-5c5f-ae51-e873ca07ea4b; e6c1deb1-a7f4-5167-8733-f8b9b0e559dc; a213ad3c-3e6d-5e8b-9100-95e4fd4da42d,Duplicate routes not merged: four pathway records hold ONE route (NMST -> NMSBA -> enol ester of formula (II) -> mesotrione). reactions.json already collapsed the Summary / Detailed Description / Claims recitations of this route into one merged 3-step chain; pathways.json still carries a separate record per recitation plus a patent-scope roll-up.,Deduplication,High,"Same KSM (2-nitro-4-methylsulfonyl toluene, compound_uuid cf553696-4517-595e-8c28-8917aa6486dd), same product (mesotrione, d5e25d71-c6e7-5328-b2bb-f5271c24cdd6), same 2 intermediates, same 3 transformations. The route is one recitation restated: .md lines 117-127 ([0017] Summary), lines 220-232 ([0039] Detailed Description) and line 348 (claim 1) are the same three steps. Pathways 80fafd41 and a213ad3c already share an identical ordered reaction_uuid sequence, so they are one route by the reaction-id-set test. Survivor should be one record carrying source_sections = [Summary of the Invention, Detailed Description of the Invention, Claims], re-pointed at merged uuids 86d4916a / aa444481 / dc18d66e.",open
3,output/pathways.json,508ce95c-f505-58af-8d78-4e374cf186a6,"Prior-art route truncated to its first step and its second step left orphaned: the CN106565561A route is recorded as a 1-step NMST -> NMSBA pathway, but the cited process is a preparation of the benzoyl chloride (NMSBC) and reactions.json holds the NMSBA -> NMSBC step, chained and linkage-confirmed, in no pathway.",RouteCoverage,Medium,".md line 88 ([009]): 'The Chinese patent application, CN106565561A discloses a process for the preparation of 2-nitro-4-methylsulfonylbenzoyl benzoyl chloride. In the process ... a step of oxidation of 2-nitro-4-methylsulfonyltoluene (NMST) ... to obtain 2-nitro-4-methylsulfonylbenzoic acid (NMSBA)'. Pathway 508ce95c has 1 step (reaction_uuid fb16d8f2-bc00-5232-a17e-343e34bd931b, 'Background of the Invention_Step 8') and product = 2-nitro-4-methylsulphonyl benzoic acid. reactions.json 'Background of the Invention_Step 9' (5c52a150-8946-5ca4-854c-34d2836c740d) has precursor_step='Step 8', linkage_confirmed=true, product 2-nitro-4-methylsulphonyl benzoyl chloride, and appears in NO pathway. Route should be 2 steps terminating at NMSBC (b68453c4-e087-55ca-969c-b883dd8a4dfa).",open
4,output/pathways.json,Line 380 (.md); Lines 211-215 (.md),"Missing route: the claimed 2-step invention route NMST -> NMSBA -> enol ester of formula (II), which terminates at a declared intermediate, has no pathway record. No record in pathways.json has ksm = 2-nitro-4-methylsulfonyl toluene together with product = enol ester of formula (II).",RouteCoverage,Medium,".md line 380 (claim 10): 'A process for preparation of an enol ester of formula (II) using 2-nitro-4-methylsulfonyl toluene (NMST) of formula (IV) as starting material, wherein the process comprises the steps of: (i) oxidizing ... to produce ... (NMSBA) ...; and (ii) reacting NMSBA ... with 1,3-cyclohexanedione to produce the enol ester of formula (II).' Same route restated at .md lines 211-215 ([0038]). The gap is self-flagged: pathway e6c1deb1-a7f4-5167-8733-f8b9b0e559dc carries honest_uncertainty_flags = ['...','claimed_processes_with_other_endpoints_not_emitted'].",open
5,output/pathways.json,a213ad3c-3e6d-5e8b-9100-95e4fd4da42d,"The single patent-scope canonical route selected the one recitation whose reactions were deleted from reactions.json, rather than the surviving merged chain, so the patent's headline invention route has no resolvable steps.",PointerIntegrity,Medium,"Pathway a213ad3c has scope='patent', section_label=null and honest_uncertainty_flags containing 'patent_chain_selected_from_three_recitations'. Its 3 steps are reaction_uuid 5d2ace13-5900-529b-bb2a-d28fd6a6af91 / 4f83be69-7508-596c-893f-843bdc80de30 / 3624ef2f-17d8-5b80-bd0f-c69997059a71 (the Detailed Description recitation), none of which is in reactions.json. The surviving merged equivalents are 86d4916a-c22e-5c30-9156-e6ae2526d46b / aa444481-ab0a-5227-b24b-48eebf102ae9 / dc18d66e-0af1-5f11-8ec1-56d4d94cb01e.",open
6,"output/pathways.json, output/reactions.json",86d4916a-c22e-5c30-9156-e6ae2526d46b; aa444481-ab0a-5227-b24b-48eebf102ae9; dc18d66e-0af1-5f11-8ec1-56d4d94cb01e,"No machine-readable merge map exists, so the dangling pathway pointers cannot be repaired programmatically: the old-uuid -> merged-uuid mapping survives only as free text inside the notes field of the three merged reaction records.",Schema,Medium,"grep for the field names 'merged_from', 'source_sections', 'merged_into' and 'superseded_by' returns 0 hits in both output/reactions.json and output/pathways.json. The only statement of the mapping is prose in the notes of Summary of the Invention_Step 1/2/3: 'previously held as three records: Summary of the Invention_Step N, Detailed Description of the Invention_Step N, Claims_Step N'.",open
7,output/pathways.json,c3ba1294-327c-5032-9004-a418f4ea1c04; 80fafd41-63c1-5c5f-ae51-e873ca07ea4b; e6c1deb1-a7f4-5167-8733-f8b9b0e559dc; a213ad3c-3e6d-5e8b-9100-95e4fd4da42d,"Distinct-route count disagreement: an independent derivation from output/reactions.json yields 13 distinct routes, versus len(pathways.json) = 16. The +3 delta is entirely the surplus restatements of the one invention route reported above; no route is missing from the count and none is invented.",RouteCount,Medium,"Derived 13 = 5 prior-art chains (Background Steps 1-4; Step 5; Step 6; Step 7; Steps 8->9) + 1 described invention chain (Summary Steps 1->2->3, the merged record) + 7 separately performed Example runs (Examples 1,2,3 -> NMSBA at 70/67/68% .md lines 264/272/285; Examples 4,5,6 -> enol ester at 68/65/66% .md lines 295/308/316; Example 7 -> mesotrione at 85% .md line 329). Excluded with reason: 'Detailed Description of the Invention_Step 4' (57582eff-410c-54eb-b80f-3ab143ff6a97), catalyst preparation. 13 + 3 surplus records (of pathways c3ba1294 / 80fafd41 / e6c1deb1 / a213ad3c, which are one route) = 16.",open
8,output/pathways.json,13737806-5be7-524c-8293-420181dbd2fe; c3ba1294-327c-5032-9004-a418f4ea1c04,"No pathway record carries a tag naming its target active ingredient, so there is no tag-level guard against target confusion. No wrongly-tagged target was found; this is an absent-control observation, not a mislabel.",Tagging,Low,"Scanning the tags array of all 16 records for 'mesotrione', 'tembotrione', 'tefuryltrione', 'sulcotrione' and 'bicyclopyrone' returns 0 hits for every term, including the correct one. Routes reaching the target carry only the generic 'compound_class:active_ingredient'. Target is mesotrione per .md line 38 (title) and line 55.",open
9,output/pathways.json,508ce95c-f505-58af-8d78-4e374cf186a6; 8b33355e-e7bf-5114-a1aa-afbebf8c6b60; 5c22e4ae-8fcf-5c74-b5f2-8de7a431a187; 3b25de20-7374-51bc-bb73-320bdb7109b8,"11 of the 16 pathway records are single-step, so any figure quoted as a 'route count' for this patent overstates the number of multi-step syntheses; only 5 records hold a chain of 2 or more steps (and 3 of those 5 are the unresolvable duplicates above). Legitimate under the one-record-per-section convention, but a metric caveat.",RouteCount,Low,"len([p for p in pathways.json if len(p['steps'])==1]) = 11; the 5 multi-step records are 13737806 (4 steps), c3ba1294, 80fafd41, e6c1deb1 and a213ad3c (3 steps each). The 11 single-step records are the four 1-step Background citations plus Examples 1-7.",open
10,output/reactions.json,57582eff-410c-54eb-b80f-3ab143ff6a97,"Orphan reaction covered by no pathway, correctly excludable: the in-situ preparation of the RuO2 catalyst from ruthenium trichloride and chlorine is not a step on the mesotrione route. Recorded here so the coverage oracle closes at 20/20 rather than being left silent.",Coverage,Info,"reaction_id 'Detailed Description of the Invention_Step 4', reaction_class='catalyst_preparation', precursor_step=null, linkage_confirmed=false, product 'ruthenium oxide'. Source .md lines 187 and 192 ([0034]): the catalyst 'can be formed in situ in a reaction commencing with ruthenium trichloride in an aqueous caustic solution containing starting material and purging chlorine gas.' Its own notes state it 'is NOT a step on the mesotrione route: it makes catalyst, not NMSBA, the enol ester or mesotrione'. Coverage: 18 of 20 reactions sit in a pathway; the other uncovered row is Background Step 9 (5c52a150), reported separately as a defect.",open
